   3.7  1474.3   294.4   212.8   936.2
   3.7  1493.9   307.7   221.8   946.2
   3.8  1497.0   313.0   220.5   947.8
   3.8  1498.9   326.1   209.0   955.4
   4.7  1480.1   334.7   177.8   957.0
   5.9  1474.1   349.8   152.4   971.5
   6.7  1490.7   353.2   166.3   973.3
   7.0  1474.5   345.4   156.3   986.8
   6.4  1538.2   339.2   198.8  1003.6
   5.6  1584.5   344.4   221.0  1019.9
   4.6  1644.1   337.0   240.4  1072.2
   4.2  1678.6   358.0   276.0  1040.7
   3.5  1693.1   394.4   244.3  1063.7
   3.1  1724.0   449.8   251.6  1034.4
   3.2  1758.2   501.0   232.7  1046.0
   3.4  1760.6   529.1   212.4  1052.4
   3.1  1779.2   547.0   216.6  1055.5
   3.0  1778.8   566.1   196.8  1075.8
   3.2  1790.9   571.7   207.3  1081.0
   2.8  1846.0   579.8   221.7  1117.3
   2.7  1882.6   599.5   227.4  1131.1
   2.6  1897.3   613.3   227.3  1139.1
   2.7  1887.4   606.2   222.1  1137.7
   3.7  1858.2   601.8   204.8  1132.1
   5.3  1849.9   585.8   203.5  1135.9
   5.8  1848.5   565.2   201.7  1148.2
   6.0  1868.9   551.8   212.0  1164.0
   5.3  1905.6   547.6   222.5  1187.5
   4.7  1959.6   546.9   246.5  1212.6
   4.4  1994.4   542.1   263.0  1236.7
   4.1  2020.1   544.5   266.4  1252.3
   4.2  2030.5   531.8   271.7  1268.6
   4.0  2023.6   533.2   263.1  1270.6
   4.2  2037.7   544.0   259.8  1273.9
   4.1  2033.4   540.0   255.5  1275.9
   4.1  2066.2   554.1   253.2  1292.3
   3.9  2077.5   564.7   248.6  1301.0
   4.1  2071.9   561.1   248.0  1303.1
   4.2  2094.0   565.9   255.1  1313.7
   4.9  2070.8   575.6   232.6  1315.0
   6.3  2012.6   568.9   214.1  1296.7
   7.4  2024.7   584.5   208.4  1307.1
   7.3  2072.3   587.9   226.8  1327.7
   6.4  2120.6   599.9   248.9  1343.9
   5.8  2165.0   610.2   260.4  1369.9
   5.1  2223.3   621.1   285.4  1391.7
   5.3  2221.4   624.2   265.3  1407.2
   5.6  2231.0   618.5   275.6  1409.5
   5.1  2279.2   605.5   304.3  1422.5
   5.2  2265.5   613.6   271.7  1439.6
   5.5  2268.3   621.6   269.4  1433.5
   6.3  2238.6   627.9   236.6  1434.8
   6.8  2251.7   635.6   241.7  1434.2
   7.0  2292.0   641.2   258.6  1455.7
   6.8  2332.6   648.0   282.2  1463.5
   6.2  2381.0   663.9   288.0  1492.8
   5.6  2422.6   674.8   305.2  1508.4
   5.5  2448.0   682.4   301.9  1526.7
   5.6  2471.9   691.4   306.5  1539.5
   5.5  2476.7   695.4   295.0  1560.6
   5.8  2508.7   691.1   313.1  1571.2
   5.7  2538.1   694.5   316.2  1586.3
   5.5  2586.3   713.3   327.4  1607.6
   5.6  2604.6   708.6   329.7  1621.1
   5.5  2666.7   712.5   346.1  1653.6
   5.2  2697.5   721.4   344.2  1683.1
   5.0  2729.6   714.9   349.1  1713.9
   5.0  2739.7   714.7   353.9  1718.6
   4.9  2808.9   713.8   392.0  1756.2
   4.7  2846.3   728.4   391.6  1776.1
   4.4  2898.8   746.3   400.9  1806.1
   4.1  2970.5   761.7   404.2  1858.0
   3.9  3042.4   776.3   436.1  1885.6
   3.8  3055.5   799.9   429.8  1890.9
   3.8  3076.5   812.5   426.7  1912.4
   3.7  3102.4   829.5   429.8  1919.1
   3.8  3127.2   864.3   415.7  1931.2
   3.8  3129.5   860.2   399.3  1957.5
   3.8  3154.2   865.4   411.5  1967.1
   3.9  3178.0   872.5   420.6  1978.5
   3.7  3236.2   887.3   425.2  2025.1
   3.6  3292.1   892.2   442.9  2056.4
   3.5  3316.1   893.6   430.1  2095.1
   3.4  3331.2   896.6   434.9  2104.4
   3.4  3381.9   891.6   463.3  2128.0
   3.4  3390.2   890.8   458.9  2141.4
   3.6  3409.7   888.7   468.2  2152.0
   3.6  3392.6   878.8   442.6  2168.8
   4.2  3386.5   871.8   427.6  2182.3
   4.8  3391.6   863.2   427.3  2192.9
   5.2  3423.0   866.7   435.9  2211.6
   5.8  3389.4   865.5   413.8  2204.6
   5.9  3481.4   856.4   465.0  2246.5
   5.9  3500.9   852.5   480.6  2266.5
   6.0  3523.8   848.8   484.1  2283.9
   5.9  3533.8   846.4   470.0  2321.1
   5.8  3604.7   858.8   502.4  2352.0
   5.7  3687.9   859.9   533.3  2394.9
   5.6  3726.2   848.4   542.4  2430.6
   5.4  3790.4   849.2   549.1  2486.1
   4.9  3892.2   854.6   588.6  2530.4
   4.9  3919.0   852.3   601.0  2527.5
   4.8  3907.1   839.1   583.0  2539.9
   4.8  3947.1   847.7   609.2  2532.6
   5.1  3908.1   857.5   565.5  2512.7
   5.2  3922.6   866.9   561.0  2522.7
   5.6  3880.0   861.8   530.3  2532.4
   6.6  3854.1   865.6   529.2  2490.9
   8.3  3800.9   875.7   431.2  2513.2
   8.9  3835.2   871.6   419.9  2556.3
